,name,characters,type,json,len
0,Olympus Has Fallen,,full,"[{""id"": ""_meta"", ""name"": ""Olympus Has Fallen"", ""author"": ""please see the pdf""}]",1
1,Ne Mangez Pas Le Foie,"grandmother,sailor,balloonist,dreamer,fortune_teller,town_crier,innkeeper,gossip,engineer,professor,seamstress,soldier,pacifist,tinker,recluse,drunk,moonchild,godfather,widow,devils_advocate,mezepheles,goblin,no_dashii,shabaloth",full,"[{""id"": ""_meta"", ""name"": ""Ne Mangez Pas Le Foie"", ""author"": ""Tam and Sean""}, {""id"": ""grandmother""}, {""id"": ""sailor""}, {""id"": ""balloonist""}, {""id"": ""dreamer""}, {""id"": ""fortune_teller""}, {""id"": ""town_crier""}, {""id"": ""innkeeper""}, {""id"": ""gossip""}, {""id"": ""engineer""}, {""id"": ""professor""}, {""id"": ""seamstress""}, {""id"": ""soldier""}, {""id"": ""pacifist""}, {""id"": ""tinker""}, {""id"": ""recluse""}, {""id"": ""drunk""}, {""id"": ""moonchild""}, {""id"": ""godfather""}, {""id"": ""widow""}, {""id"": ""devils_advocate""}, {""id"": ""mezepheles""}, {""id"": ""goblin""}, {""id"": ""no_dashii""}, {""id"": ""shabaloth""}]",24
2,The Flying Circus,"cannibal,clockmaker,farmer,fool,innkeeper,investigator,magician,monk,noble,professor,ravenkeeper,slayer,tea_lady,golem,heretic,klutz,tinker,devils_advocate,vizier,widow,witch,al-hadikhia,legion,riot,zombuul,djinn,hells_librarian",full,"[{""id"": ""_meta"", ""name"": ""The Flying Circus"", ""author"": ""Occam Blazer""}, {""id"": ""cannibal""}, {""id"": ""clockmaker""}, {""id"": ""farmer""}, {""id"": ""fool""}, {""id"": ""innkeeper""}, {""id"": ""investigator""}, {""id"": ""magician""}, {""id"": ""monk""}, {""id"": ""noble""}, {""id"": ""professor""}, {""id"": ""ravenkeeper""}, {""id"": ""slayer""}, {""id"": ""tea_lady""}, {""id"": ""golem""}, {""id"": ""heretic""}, {""id"": ""klutz""}, {""id"": ""tinker""}, {""id"": ""devils_advocate""}, {""id"": ""vizier""}, {""id"": ""widow""}, {""id"": ""witch""}, {""id"": ""al-hadikhia""}, {""id"": ""legion""}, {""id"": ""riot""}, {""id"": ""zombuul""}, {""id"": ""djinn""}, {""id"": ""hells_librarian""}]",27
3,Into the Abyss,"steward,investigator,bounty_hunter,high_priestess,sailor,preacher,undertaker,monk,savant,artist,slayer,philosopher,alchemist,goon,puzzlemaster,saint,klutz,poisoner,devils_advocate,witch,marionette,vizier,lil_monsta,no_dashii,imp",full,"[{""id"": ""_meta"", ""name"": ""Into The Abyss"", ""author"": ""Tallulah""}, {""id"": ""steward""}, {""id"": ""investigator""}, {""id"": ""bounty_hunter""}, {""id"": ""high_priestess""}, {""id"": ""sailor""}, {""id"": ""preacher""}, {""id"": ""undertaker""}, {""id"": ""monk""}, {""id"": ""savant""}, {""id"": ""artist""}, {""id"": ""slayer""}, {""id"": ""philosopher""}, {""id"": ""alchemist""}, {""id"": ""goon""}, {""id"": ""puzzlemaster""}, {""id"": ""saint""}, {""id"": ""klutz""}, {""id"": ""poisoner""}, {""id"": ""devils_advocate""}, {""id"": ""witch""}, {""id"": ""marionette""}, {""id"": ""vizier""}, {""id"": ""lil_monsta""}, {""id"": ""no_dashii""}, {""id"": ""imp""}]",25
4,Tricked You,"pixie,empath,sailor,balloonist,dreamer,oracle,nightwatchman,philosopher,fool,farmer,magician,ravenkeeper,cannibal,puzzlemaster,recluse,mutant,barber,politician,poisoner,cerenovus,mezepheles,goblin,marionette,al-hadikhia",full,"[{""id"": ""_meta"", ""name"": ""Tricked you v1.0"", ""author"": ""Jumbo Jack""}, {""id"": ""pixie""}, {""id"": ""empath""}, {""id"": ""sailor""}, {""id"": ""balloonist""}, {""id"": ""dreamer""}, {""id"": ""oracle""}, {""id"": ""nightwatchman""}, {""id"": ""philosopher""}, {""id"": ""fool""}, {""id"": ""farmer""}, {""id"": ""magician""}, {""id"": ""ravenkeeper""}, {""id"": ""cannibal""}, {""id"": ""puzzlemaster""}, {""id"": ""recluse""}, {""id"": ""mutant""}, {""id"": ""barber""}, {""id"": ""politician""}, {""id"": ""poisoner""}, {""id"": ""cerenovus""}, {""id"": ""mezepheles""}, {""id"": ""goblin""}, {""id"": ""marionette""}, {""id"": ""al-hadikhia""}]",24
5,Tee Hee,"clockmaker,pixie,innkeeper,lycanthrope,fortune_teller,empath,town_crier,seamstress,general,ravenkeeper,mathematician,magician,savant,drunk,mutant,goon,lunatic,recluse,poisoner,cerenovus,scarlet_woman,witch,imp,fang_gu,pukka",full,"[{""id"": ""_meta"", ""name"": ""Tee hee"", ""author"": ""Meeeee""}, {""id"": ""clockmaker""}, {""id"": ""pixie""}, {""id"": ""innkeeper""}, {""id"": ""lycanthrope""}, {""id"": ""fortune_teller""}, {""id"": ""empath""}, {""id"": ""town_crier""}, {""id"": ""seamstress""}, {""id"": ""general""}, {""id"": ""ravenkeeper""}, {""id"": ""mathematician""}, {""id"": ""magician""}, {""id"": ""savant""}, {""id"": ""drunk""}, {""id"": ""mutant""}, {""id"": ""goon""}, {""id"": ""lunatic""}, {""id"": ""recluse""}, {""id"": ""poisoner""}, {""id"": ""cerenovus""}, {""id"": ""scarlet_woman""}, {""id"": ""witch""}, {""id"": ""imp""}, {""id"": ""fang_gu""}, {""id"": ""pukka""}]",25
6,Cabin Fever,"chef,pixie,sailor,dreamer,mathematician,oracle,exorcist,gossip,nightwatchman,engineer,fisherman,sage,cannibal,acrobat,tinker,goon,lunatic,widow,cerenovus,pit-hag,assassin,pukka,lleech,no_dashii,vigormortis",full,"[{""id"": ""_meta"", ""name"": ""Cabin Fever v3.1"", ""author"": ""Jumbo Jack""}, {""id"": ""chef""}, {""id"": ""pixie""}, {""id"": ""sailor""}, {""id"": ""dreamer""}, {""id"": ""mathematician""}, {""id"": ""oracle""}, {""id"": ""exorcist""}, {""id"": ""gossip""}, {""id"": ""nightwatchman""}, {""id"": ""engineer""}, {""id"": ""fisherman""}, {""id"": ""sage""}, {""id"": ""cannibal""}, {""id"": ""acrobat""}, {""id"": ""tinker""}, {""id"": ""goon""}, {""id"": ""lunatic""}, {""id"": ""widow""}, {""id"": ""cerenovus""}, {""id"": ""pit-hag""}, {""id"": ""assassin""}, {""id"": ""pukka""}, {""id"": ""lleech""}, {""id"": ""no_dashii""}, {""id"": ""vigormortis""}]",25
7,Regicide,"steward,knight,noble,chef,chambermaid,general,king,fortune_teller,flowergirl,slayer,farmer,choirboy,minstrel,drunk,recluse,saint,klutz,poisoner,witch,mezepheles,marionette,imp,pukka,vigormortis",full,"[{""id"": ""_meta"", ""name"": ""Regicide v10.2"", ""author"": ""Jumbo Jack""}, {""id"": ""steward""}, {""id"": ""knight""}, {""id"": ""noble""}, {""id"": ""chef""}, {""id"": ""chambermaid""}, {""id"": ""general""}, {""id"": ""king""}, {""id"": ""fortune_teller""}, {""id"": ""flowergirl""}, {""id"": ""slayer""}, {""id"": ""farmer""}, {""id"": ""choirboy""}, {""id"": ""minstrel""}, {""id"": ""drunk""}, {""id"": ""recluse""}, {""id"": ""saint""}, {""id"": ""klutz""}, {""id"": ""poisoner""}, {""id"": ""witch""}, {""id"": ""mezepheles""}, {""id"": ""marionette""}, {""id"": ""imp""}, {""id"": ""pukka""}, {""id"": ""vigormortis""}]",24
8,Shabaloth Circus,"pixie,high_priestess,sailor,balloonist,fortune_teller,amnesiac,juggler,artist,fool,tea_lady,magician,cannibal,ravenkeeper,acrobat,puzzlemaster,mutant,klutz,barber,devils_advocate,pit-hag,psychopath,evil_twin,marionette,shabaloth",full,"[{""id"": ""_meta"", ""name"": ""Shabaloth Circus v2.0"", ""author"": ""Jumbo Jack""}, {""id"": ""pixie""}, {""id"": ""high_priestess""}, {""id"": ""sailor""}, {""id"": ""balloonist""}, {""id"": ""fortune_teller""}, {""id"": ""amnesiac""}, {""id"": ""juggler""}, {""id"": ""artist""}, {""id"": ""fool""}, {""id"": ""tea_lady""}, {""id"": ""magician""}, {""id"": ""cannibal""}, {""id"": ""ravenkeeper""}, {""id"": ""acrobat""}, {""id"": ""puzzlemaster""}, {""id"": ""mutant""}, {""id"": ""klutz""}, {""id"": ""barber""}, {""id"": ""devils_advocate""}, {""id"": ""pit-hag""}, {""id"": ""psychopath""}, {""id"": ""evil_twin""}, {""id"": ""marionette""}, {""id"": ""shabaloth""}]",24
9,Dave Bautista's Five Nights Of Clocktower,"noble,pixie,high_priestess,general,balloonist,fortune_teller,dreamer,snake_charmer,savant,nightwatchman,fisherman,huntsman,farmer,snitch,damsel,puzzlemaster,lunatic,mezepheles,fearmonger,psychopath,marionette,widow,leviathan",full,"[{""id"": ""_meta"", ""name"": ""Dave Bautista's 5 Nights of Clocktower v1.2"", ""author"": ""Avery""}, {""id"": ""noble""}, {""id"": ""pixie""}, {""id"": ""high_priestess""}, {""id"": ""general""}, {""id"": ""balloonist""}, {""id"": ""fortune_teller""}, {""id"": ""dreamer""}, {""id"": ""snake_charmer""}, {""id"": ""savant""}, {""id"": ""nightwatchman""}, {""id"": ""fisherman""}, {""id"": ""huntsman""}, {""id"": ""farmer""}, {""id"": ""snitch""}, {""id"": ""damsel""}, {""id"": ""puzzlemaster""}, {""id"": ""lunatic""}, {""id"": ""mezepheles""}, {""id"": ""fearmonger""}, {""id"": ""psychopath""}, {""id"": ""marionette""}, {""id"": ""widow""}, {""id"": ""leviathan""}]",23
