id,name,ability,firstNightReminder,otherNightReminder,reminders,firstNight,otherNight,team,edition,setup
acrobat,לוליין,"בכל לילה*, אם אחד מהשכנים הטובים החיים שלך שיכור או מורעל, אתה מת.",,"אם שכן חי טוב של הלולין מורעל, הוא מת.",מת,-1,46,outsider,experimental,FALSE
alchemist,אלכימאי,יש לך יכולת של משרת שלא במשחק.,הראה לאלכימאי דמות משרת מחוץ למשחק.,,האלכימאי,10,-1,townsfolk,experimental,FALSE
alhadikhia,אל-חדיקיה,"בכל לילה*, בחר שלושה שחקנים (כל השחקנים יודעים במי בחרת). כל אחד מהם בוחר לחיות או למות, אבל אם כולם חיים, כולם מתים.",,"האל-חדיקיה בוחר שלושה שחקנים. תצהיר על השחקן הראשון שנבחר, הער אותו לנענע בראש כן כדי לחיות או לנדנד בראש כדי למות. תהרוג או תחיה בהתאם, ואז תרדים אותו ותכריז על השחקן הבא. אם שלושת השחקנים חיים אחרי זה, שלושתם מתים.","1,2,3,בוחר בחיים, בוחר במוות",-1,40,demon,experimental,FALSE
amnesiac,אמנזי,"אתה לא יודע מה היכולת שלך. בכל יום, אתה יכול לנחש בפרטיות מה היכולת. אתה לומד כמה אתה קרוב.","תחליט מה היכולת של האמנזי. אם היכולת שלו גורמת לו לקום בלילה, תעיר את האמנזי ותבצע את הפעולה בהתאם.","אם היכולת של האמנזי גורמת לו לקום בלילה, תעיר אותו ותבצע את הפעולה בהתאם.",?,40,54,townsfolk,experimental,FALSE
angel,מלאך,משהו רע עלול לקרות למי שהיה הכי אחראי על המוות של שחקן חדש.,"הכרז איזה שחקנים מוגנים מפני המלאך. הוסף את אסימון ""מוגן"" ליד השחקנים הרלוונטים",,"מוגן, משהו רע",1,-1,fabled,experimental,FALSE
apprentice,מתמחה,"בלילה הראשון שלך, אתה מקבל יכולת של תושב-עיירה (אם אתה טוב) או של משרת (אם אתה רע).","הראה למתמחה את קל, ""אתה"" ואז קלף של תושב-עיירה או משרת. החלף את האסימון של המתמחה בגרימואר באסימון של תושב-העיירה או המשרת שהראית לו, והוסף את התזכורת של המתמחה לידו.",,המתמחה,5,-1,traveller,experimental,FALSE
artist,אמן,"פעם אחת במשחק, במהלך היום, תשאל את מספר-הסיפורים בפרטיות כל שאלה של כן או לא.",,,ללא יכולת,-1,-1,townsfolk,snv,FALSE
assassin,מתנקש,"פעם אחת במשחק, במהלך הלילה, בחר שחקן: הוא מת, אפילו אם מסיבה מסוימת הוא לא יכול למות.",,"אם המתנקש עדיין לא השתמש ביכולת שלו: המתנקש מנדנד את הראש ""לא"" או מצביע על שחקן. השחקן הזה מת.","מת, ללא יכולת",-1,43,minion,bmr,FALSE
atheist,אתאיסט,"מספר-הסיפורים יכול לשבור את חוקי המשחק ואם מוציאים אותו להורג, הטובים מנצח, אפילו אם אתה מת. [אין דמויות רעות]",,,,-1,-1,townsfolk,experimental,TRUE
balloonist,מפריח הבלונים,"בכל לילה, אתה לומד שחקן אחד מכל סוג דמות, עד שאין יותר סוגים ללמוד (תושב-עיירה, זר, משרת, שד). [+1 זר]","בחר סוג דמות. הצבע על שחקן שדמותו מהסוג הנבחר. הנח את אסימון ה""נראה"" של מפריח הבלונים ליד הדמות הזו.","בחר סוג דמות שאין אסימון ""נראה"" ליד דמות מהסוג הזה כבר. הצבע על שחקן שדמותו מהסוג הנבחר, אם נשארו כאלה. הנח את אסימון ה""נראה"" של מפריח הבלונים ליד הדמות הזו,.","ראה תושב-עיירה, ראה זר, ראה משרת, ראה שד, ראה מטייל",55,69,townsfolk,experimental,TRUE
